acc. date,type,reg.,operator,fat.,location,dmg
15-May-43,Douglas C-47-DL (DC-3),41-18361,United States Army Air Force - USAAF,,Algiers-Maison Blanche Airport (ALG),w/o
13-Mar-43,Douglas C-47-DL (DC-3),41-18340,United States Army Air Force - USAAF,,Montesquieu,w/o
15-Jan-43,Douglas C-47 (DC-3),,United States Army Air Force - USAAF,,Biskra Airport (BSK),w/o
29-Nov-42,Douglas C-47-DL (DC-3),41-7855,United States Army Air Force - USAAF,,Mocta Douz,w/o
20-Nov-42,Douglas C-47-DL (DC-3),41-18369,United States Army Air Force - USAAF,,Algiers-Maison Blanche Airport (ALG),w/o
19-Nov-42,Douglas C-47-DL (DC-3),41-18389,United States Army Air Force - USAAF,,Tébessa Airport (TEE),w/o
18-Nov-42,Douglas C-47-DL (DC-3),41-18378,United States Army Air Force - USAAF,,Tébessa Airport (TEE),w/o
16-Nov-42,Douglas C-53-DO (DC-3),42-47382,United States Army Air Force - USAAF,,Algiers-Maison Blanche Airport (ALG),w/o
27-Sep-42,Dewoitine D.342,F-ARIZ,Air France,25,Ameur-el-Aïn,w/o
13-Aug-42,Lioré-et-Olivier H.246.1,F-AREJ,Air France,4,near Algiers,w/o
26-Jan-37,Sabca Savoia-Marchetti S.73P,OO-AGR,Sabena,12,10 km S of Oran-es Senia Airport (ORN),w/o
3-Dec-10,Boeing 767-3G5ER,N584HA,Hawaiian Airlines,0,"Pago Pago, Tutuila",non
23-Apr-99,de Havilland Canada DHC-6 Twin Otter 200,N719AS,Samoa Aviation,0,Fituita Airport (FTI),sub
22-Mar-91,de Havilland Canada DHC-6 Twin Otter 300,5W-FAU,Polynesian Airlines,1,Nuuuli,non
17-Jun-88,de Havilland Canada DHC-6 Twin Otter 100,N202RH,Samoa Aviation,0,Tau Airport (TAV),w/o
21-Jul-84,de Havilland Canada DHC-6 Twin Otter 300,N43SP,South Pacific Island Airways - SPIA,1,Tau Airport (TAV),w/o
17-Apr-80,Lockheed P-3C Orion,158213,United States Navy,6+2,Pago Pago,w/o
5-Nov-79,de Havilland Canada DHC-6 Twin Otter 300,N23BC,South Pacific Island Airways - SPIA,0,Tau Airport (TAV),w/o
30-Jan-74,Boeing 707-321B,N454PA,Pan American World Airways (Pan Am),97,"1,2 km SW of Pago Pago International Airport (PPG)",w/o
5-Jan-70,de Havilland Canada DHC-6 Twin Otter 300,N93985,Air Capital International,0,Tau Island,sub
