acc. date,type,reg.,operator,fat.,location,dmg
8-Aug-45,Curtiss C-46A-45-CU Commando,42-96739,United States Army Air Force - USAAF,,16 km NE of Tezpur AAB,w/o
7-Aug-45,Douglas C-47A (DC-3),43-15831,United States Army Air Force - USAAF,9,24 km SSW of Lalmanirhat,w/o
6-Aug-45,Consolidated C-109 Liberator Express,44-49704,United States Army Air Force - USAAF,4,near Gologhat,w/o
5-Aug-45,Douglas Dakota IV (DC-3),KJ953,Royal Air Force - RAF,,Tulihal Air Base (IMF),w/o
3-Aug-45,Douglas Dakota IV (DC-3),KK140,Royal Air Force - RAF,,between Chittagong and Allahabad,w/o
30-Jul-45,Consolidated C-109 Liberator Express,44-48999,United States Army Air Force - USAAF,4,near Tulihal,mis
22-Jul-45,Consolidated C-87 Liberator Express,44-39273,United States Army Air Force - USAAF,,Jorhat (JRH),w/o
22-Jul-45,Consolidated C-109 Liberator Express,42-51424,United States Army Air Force - USAAF,,96 km SE of Gaya,w/o
22-Jul-45,Curtiss C-46A-45-CU Commando,42-96761,United States Army Air Force - USAAF,,Sookerating,w/o
21-Jul-45,Douglas Dakota III (DC-3),KG539,Royal Air Force - RAF,,"19 km NW of Bhuj, Kutch",w/o
17-Jul-45,Consolidated C-109 Liberator Express,44-49628,United States Army Air Force - USAAF,4,near Bishmaknagar,w/o
16-Jul-45,Douglas C-47A-65-DL (DC-3),42-100453,United States Army Air Force - USAAF,,"1,6 km W of Delhi-Palam Airport (DEL)",w/o
14-Jul-45,Curtiss C-46A-40-CU Commando,42-107331,United States Army Air Force - USAAF,2,near Manipur Road,w/o
11-Jul-45,Curtiss C-46A-30-CU Commando,41-24744,United States Army Air Force - USAAF,,5 km SW of Mohanbari Air Base (MOH),w/o
10-Jul-45,Curtiss C-46A-40-CU Commando,42-61055,United States Army Air Force - USAAF,,Chabua Airfield,w/o
9-Jul-45,Douglas Dakota III (DC-3),FZ648,Royal Air Force - RAF,,Kangla Airfield,w/o
9-Jul-45,Curtiss C-46D-15-CU Commando,44-78142,United States Army Air Force - USAAF,,Dinjan,w/o
1-Jul-45,Consolidated C-87 Liberator Express,41-24161,United States Army Air Force - USAAF,,42 km NW of Jorhat (JRH),w/o
30-Jun-45,Curtiss C-46D-5-CU Commando,42-101050,United States Army Air Force - USAAF,0,Barrackpore Air Base,w/o
27-Jun-45,Curtiss C-46A-45-CU Commando,42-96588,United States Army Air Force - USAAF,,,w/o
26-Jun-45,Consolidated C-87 Liberator Express,44-39239,United States Army Air Force - USAAF,,4 km SW of Jorhat (JRH),w/o
18-Jun-45,Curtiss C-46A-45-CU Commando,42-96594,United States Army Air Force - USAAF,,near Chabua Airfield,w/o
14-Jun-45,Curtiss C-46A Commando,42-101037,United States Army Air Force - USAAF,1,39 km WSW of Mohanbari,w/o
14-Jun-45,Curtiss C-46A-60-CK Commando,43-47325,United States Army Air Force - USAAF,,,w/o
14-Jun-45,Douglas C-54D-1-DC (DC-4),42-72491,United States Army Air Force - USAAF,,"6,4 km WNW of Kurmitola",w/o
12-Jun-45,Consolidated C-109 Liberator Express,44-49660,United States Army Air Force - USAAF,,Jorhat (JRH),w/o
9-Jun-45,Douglas C-53 Skytrooper (DC-3),41-20104,United States Army Air Force - USAAF,,Ondal,w/o
2-Jun-45,Douglas Dakota IV (DC-3),KN283,Royal Air Force - RAF,5,"14,5 km SE of Karin",w/o
31-May-45,Curtiss C-46A-40-CU Commando,42-61065,United States Army Air Force - USAAF,,"1,5 km NE of Sookerating",w/o
30-May-45,Consolidated C-109 Liberator Express,42-52023,United States Army Air Force - USAAF,2,16 km E of Tura,w/o
29-May-45,Curtiss C-46A-55-CK Commando,43-47139,United States Army Air Force - USAAF,,Chabua Airfield,w/o
27-May-45,Douglas C-47-DL (DC-3),42-32836,United States Army Air Force - USAAF,,,w/o
26-May-45,Consolidated C-87 Liberator Express,43-30605,United States Army Air Force - USAAF,,Barrackpore,w/o
24-May-45,Curtiss C-46D-5-CU Commando,42-101181,C. R. Vose Company,,72 km SE of Cox's Bazaar,w/o
20-May-45,Douglas C-47B-1-DL (DC-3),43-16170,United States Army Air Force - USAAF,,Kharagpur,w/o
16-May-45,Curtiss C-46A-45-CU Commando,42-96552,United States Army Air Force - USAAF,,5 km SW of Sookerating,w/o
13-May-45,Consolidated C-109 Liberator Express,44-48995,United States Army Air Force - USAAF,,26 km SW of Silchar,w/o
13-May-45,Douglas C-47B-1-DL (DC-3),43-16234,United States Army Air Force - USAAF,,Ledo,w/o
13-May-45,Douglas C-47A-80-DL (DC-3),43-15366,United States Army Air Force - USAAF,,Ledo Airfield,w/o
13-May-45,Douglas C-47B-25-DK (DC-3),44-76234,United States Army Air Force - USAAF,,near Ledo,w/o
12-May-45,Consolidated C-109 Liberator Express,42-51411,United States Army Air Force - USAAF,,"2,4 km SW of Jorhat (JRH)",w/o
8-May-45,Consolidated C-87 Liberator Express,44-39204,United States Army Air Force - USAAF,0,S of Jorhat,mis
7-May-45,Curtiss C-46A-25-CU Commando,41-24715,United States Army Air Force - USAAF,,1 km NNE of Chabua Airfield,w/o
5-May-45,Consolidated C-87 Liberator Express,44-39265,United States Army Air Force - USAAF,4,near Gologhat,mis
3-May-45,Curtiss C-46A-50-CU Commando,42-96822,United States Army Air Force - USAAF,,,w/o
28-Apr-45,Douglas C-47A-25-DK (DC-3),42-93367,United States Army Air Force - USAAF,,Barrackpore Air Base,w/o
16-Apr-45,Curtiss C-46A-5-CK Commando,43-46995,United States Army Air Force - USAAF,,Malir,w/o
12-Apr-45,Curtiss C-46A-50-CU Commando,42-101153,United States Army Air Force - USAAF,,"6,5 km N of Mohanbari Air Base (MOH)",w/o
11-Apr-45,Douglas Dakota III (DC-3),FD896,Royal Air Force - RAF,,"5 km N of Yelahanka, Mysore",w/o
11-Apr-45,Douglas C-47A-25-DK (DC-3),42-93366,United States Army Air Force - USAAF,,Dinjan,w/o
11-Apr-45,Douglas C-47A-25-DK (DC-3),42-93391,United States Army Air Force - USAAF,,Makum,w/o
11-Apr-45,Douglas TC-47B,44-76739,United States Army Air Force - USAAF,4,"19 km NE of Oklahoma City, OK",w/o
10-Apr-45,Douglas Dakota III (DC-3),FL538,Royal Air Force - RAF,,Barrackpore Air Base,w/o
10-Apr-45,Consolidated C-109 Liberator Express,44-49450,United States Army Air Force - USAAF,,Khilpara,w/o
10-Apr-45,Douglas Dakota IV (DC-3),KK109,Royal Air Force - RAF,,8 km off South Khulna,w/o
8-Apr-45,Curtiss C-46A-55-CK Commando,43-47115,United States Army Air Force - USAAF,,32 km E of Ledo,w/o
6-Apr-45,Douglas C-47B-1-DL (DC-3),43-16352,United States Army Air Force - USAAF,,Dinjan Airfield,w/o
5-Apr-45,Curtiss C-46A-30-CU Commando,41-24750,United States Army Air Force - USAAF,,,w/o
3-Apr-45,Curtiss C-46A-55-CK Commando,43-47165,United States Army Air Force - USAAF,,24 km SE of Chabua Airfield,w/o
1-Apr-45,Curtiss C-46A-40-CU Commando,42-61078,United States Army Air Force - USAAF,,Dergaon,w/o
31-Mar-45,Curtiss C-46A-40-CU Commando,42-61018,United States Army Air Force - USAAF,3,"Chabua, Assam State",w/o
29-Mar-45,Douglas Dakota IV (DC-3),KK121,Royal Air Force - RAF,,"11 km ESE of Chiringa, Assam",w/o
20-Mar-45,Douglas Dakota IV (DC-3),KN228,Royal Air Force - RAF,,10 km NE of Barrackpore,w/o
13-Mar-45,Douglas C-47A-90-DL (DC-3),43-15801,United States Army Air Force - USAAF,,"10,4 km from Moran",w/o
12-Mar-45,Consolidated C-109 Liberator Express,42-51786,United States Army Air Force - USAAF,0,near Jassore,w/o
11-Mar-45,Consolidated C-87 Liberator Express,42-107271,United States Army Air Force - USAAF,,11 km from Jorhat (JRH),w/o
11-Mar-45,Consolidated C-109 Liberator Express,44-49062,United States Army Air Force - USAAF,4,within India or Burma,mis
5-Mar-45,Curtiss C-46A-45-CU Commando,42-96750,United States Army Air Force - USAAF,,Mohanbari Air Base (MOH),w/o
3-Mar-45,Douglas C-47-DL (DC-3),41-18554,United States Army Air Force - USAAF,27,Ledo,w/o
1-Mar-45,Consolidated C-109 Liberator Express,44-48882,United States Army Air Force - USAAF,,24 km SE of Jorhat (JRH),w/o
22-Feb-45,Douglas C-53 Skytrooper (DC-3),41-20086,United States Army Air Force - USAAF,,Agra,w/o
20-Feb-45,Douglas C-47A-40-DL (DC-3),42-24006,United States Army Air Force - USAAF,,Barrackpore,w/o
15-Feb-45,Douglas C-47A-90-DL (DC-3),43-15875,United States Army Air Force - USAAF,,Imphal-Tulihal Airport (IMF),w/o
15-Feb-45,Curtiss C-46A-45-CU Commando,42-96612,United States Army Air Force - USAAF,,near Mohanbari Air Base (MOH),w/o
14-Feb-45,Douglas Dakota III (DC-3),FD820,Royal Air Force - RAF,4,19 km NE of Lunglei,w/o
13-Feb-45,Douglas Dakota III (DC-3),FD928,Royal Air Force - RAF,4,"near Kangla, Assam",w/o
12-Feb-45,Douglas Dakota III (DC-3),FL644,Royal Air Force - RAF,0,Imphal-Koirengei Airfield,w/o
12-Feb-45,Curtiss C-46A-30-CU Commando,42-3564,United States Army Air Force - USAAF,,,w/o
10-Feb-45,Consolidated C-109 Liberator Express,44-49060,United States Army Air Force - USAAF,0,73 km S of Tilagaon,w/o
10-Feb-45,Curtiss C-46A-45-CU Commando,42-96613,United States Army Air Force - USAAF,,Jiwani Airport,w/o
9-Feb-45,Douglas C-47B-20-DK (DC-3),43-49644,United States Army Air Force - USAAF,,24 km NW of Mangshih,w/o
4-Feb-45,Curtiss C-46A-45-CU Commando,42-107386,United States Army Air Force - USAAF,34,W of Karoi,w/o
2-Feb-45,Consolidated C-109 Liberator Express,44-49013,United States Army Air Force - USAAF,4,near Tezpur Airport (TEZ),w/o
31-Jan-45,Douglas C-47A-90-DL (DC-3),43-15927,United States Army Air Force - USAAF,,Palel,w/o
31-Jan-45,Douglas Dakota III (DC-3),KG757,Royal Air Force - RAF,,Tulihal Air Base (IMF),w/o
28-Jan-45,Douglas Dakota IV (DC-3),KJ944,Royal Air Force - RAF,,Imphal Airport (IMF),w/o
18-Jan-45,Douglas C-47B-5-DK (DC-3),43-48635,United States Army Air Force - USAAF,,"Ledo, Assam",w/o
17-Jan-45,Douglas Dakota III (DC-3),KG793,Royal Air Force - RAF,,Tulihal Air Base (IMF),w/o
15-Jan-45,Curtiss C-46A-45-CU Commando,42-96597,United States Army Air Force - USAAF,,,w/o
14-Jan-45,Curtiss C-46D-5-CU Commando,42-101208,United States Army Air Force - USAAF,,Agartala Airport (IXA),w/o
13-Jan-45,Douglas C-47A-70-DL (DC-3),42-100683,United States Army Air Force - USAAF,,Ledo,w/o
7-Jan-45,Curtiss C-46A-45-CU Commando,42-96559,United States Army Air Force - USAAF,,,w/o
6-Jan-45,Consolidated C-109 Liberator Express,44-49235,United States Army Air Force - USAAF,5,near Imphal,w/o
6-Jan-45,Douglas C-47-DL (DC-3),41-7797,United States Army Air Force - USAAF,3,ca 50 km S of Jorhat,w/o
6-Jan-45,Curtiss C-46A-45-CU Commando,42-96721,United States Army Air Force - USAAF,13,Arunachal Pradesh,w/o
20-Dec-44,Douglas C-47A-25-DK (DC-3),42-93758,United States Army Air Force - USAAF,,Moran Air Base,w/o
19-Dec-44,Douglas Dakota IV (DC-3),KJ884,Royal Air Force - RAF,,Gujrat,w/o
19-Dec-44,Curtiss C-46A-45-CU Commando,42-96650,United States Army Air Force - USAAF,,Dergaon,w/o
16-Dec-44,Douglas Dakota III (DC-3),FL600,Royal Air Force - RAF,,Agartala Airport (IXA),w/o
16-Dec-44,Curtiss C-46D-5-CU Commando,44-77307,United States Army Air Force - USAAF,,Imphal Municipal Airport (IMF),w/o
13-Dec-44,Curtiss C-46A-5-CK Commando,43-47005,United States Army Air Force - USAAF,,Sookerating Air Base,w/o
8-Dec-44,Curtiss C-46A-35-CU Commando,42-3604,United States Army Air Force - USAAF,,near Mohanbari Air Base (MOH),w/o
6-Dec-44,Douglas C-53 Skytrooper (DC-3),41-20100,United States Army Air Force - USAAF,,Bhagalpur,w/o
30-Nov-44,Douglas C-53 (DC-3),56,China National Aviation Corporation - CNAC,3,Digboi Mountain,w/o
24-Nov-44,Douglas C-47A-90-DL (DC-3),43-15819,United States Army Air Force - USAAF,,Imphal Airport (IMF),w/o
23-Nov-44,Curtiss C-46A-45-CU Commando,42-96554,United States Army Air Force - USAAF,,3 km N of Sookerating,w/o
17-Nov-44,Curtiss C-46A-40-CU Commando,42-60984,United States Army Air Force - USAAF,,10 km SW of Dergaon,w/o
4-Nov-44,Douglas C-47A-35-DL (DC-3),80,China National Aviation Corporation - CNAC,0,near Dinjan,w/o
30-Oct-44,Curtiss C-46A-25-CU Commando,41-24733,United States Army Air Force - USAAF,,Sookerating Air Base,w/o
29-Oct-44,Curtiss C-46A-25-CU Commando,41-24731,United States Army Air Force - USAAF,,Gaya Airport (GAY),w/o
21-Oct-44,Curtiss C-46A-45-CU Commando,42-96575,United States Army Air Force - USAAF,,Gaya,w/o
20-Oct-44,Douglas C-47A-25-DK (DC-3),42-93773,United States Army Air Force - USAAF,,Dinjan,w/o
19-Oct-44,Douglas C-47A-70-DL (DC-3),42-1007f04,United States Army Air Force - USAAF,3,near Ledo,mis
16-Oct-44,Curtiss C-46A-45-CU Commando,42-96762,United States Army Air Force - USAAF,,Mohanbari Air Base (MOH),w/o
12-Oct-44,Consolidated C-109 Liberator Express,42-51890,United States Army Air Force - USAAF,,near Kalaikunda,w/o
10-Oct-44,Douglas Dakota III (DC-3),KG574,194 Sqn RAF,6,unknown,mis
9-Oct-44,Douglas C-47A-25-DK (DC-3),42-93761,United States Army Air Force - USAAF,,near Ledo Airfield,w/o
7-Oct-44,Douglas C-47B-1-DL (DC-3),101,China National Aviation Corporation - CNAC,3,32 km W of Sadiya,w/o
4-Oct-44,Douglas C-47B-1-DL (DC-3),43-16431,United States Army Air Force - USAAF,,Nagaon,w/o
3-Oct-44,Consolidated C-109 Liberator Express,42-51825,United States Army Air Force - USAAF,,Jorhat (JRH),w/o
28-Sep-44,Curtiss C-46A-45-CU Commando,42-96551,United States Army Air Force - USAAF,,10 km SSW of Sookerating,w/o
25-Sep-44,Curtiss C-46A-35-CU Commando,42-3666,United States Army Air Force - USAAF,,Iahqal,w/o
24-Sep-44,Consolidated C-87 Liberator Express,44-39203,United States Army Air Force - USAAF,4,near Dafflaghur Tea Estate,w/o
24-Sep-44,Consolidated C-87 Liberator Express,43-30614,United States Army Air Force - USAAF,4,near Tezpur,mis
23-Sep-44,Douglas Dakota III (DC-3),KG435,Royal Air Force - RAF,,Imphal,w/o
23-Sep-44,Douglas C-47A-90-DL (DC-3),43-15914,United States Army Air Force - USAAF,,Tura,w/o
23-Sep-44,Douglas C-47A-85-DL (DC-3),43-15443,United States Army Air Force - USAAF,,Kharagpur-Kalaikunda Airfield (VEDX),w/o
22-Sep-44,Douglas C-47A-25-DK (DC-3),42-93689,United States Army Air Force - USAAF,,Gaya Air Base,w/o
20-Sep-44,Consolidated C-109 Liberator Express,42-51647,United States Army Air Force - USAAF,,5 km E of Kharagpur-Kalaikunda Air Force Station,w/o
18-Sep-44,Douglas C-47A-90-DL (DC-3),43-15888,United States Army Air Force - USAAF,,Agartala Airport (IXA),w/o
15-Sep-44,Douglas C-47A-90-DL (DC-3),43-15838,United States Army Air Force - USAAF,,Tulihat/Imphal Airport (IMF),w/o
12-Sep-44,Douglas Dakota III (DC-3),KG553,Royal Air Force - RAF,,"1,6 km NE of Imphal Airport (IMF)",w/o
12-Sep-44,Douglas C-47A-35-DL (DC-3),42-23841,United States Army Air Force - USAAF,,Jorhat,w/o
11-Sep-44,Curtiss C-46A-35-CU Commando,42-3661,United States Army Air Force - USAAF,4,"Chabua, Assam",w/o
10-Sep-44,Consolidated C-87 Liberator Express,44-39230,United States Army Air Force - USAAF,,Jorhat (JRH),w/o
9-Sep-44,Consolidated C-87 Liberator Express,43-30609,United States Army Air Force - USAAF,4,Tezpur Airport (TEZ),w/o
9-Sep-44,Douglas C-47B-1-DL (DC-3),43-16174,United States Army Air Force - USAAF,,Dinjan,w/o
8-Sep-44,Curtiss C-46A-40-CU Commando,42-61054,United States Army Air Force - USAAF,,,w/o
6-Sep-44,Consolidated C-87 Liberator Express,44-39244,United States Army Air Force - USAAF,,4 km SW of Jorhat (JRH),w/o
6-Sep-44,Consolidated C-87 Liberator Express,44-39233,United States Army Air Force - USAAF,,80 km SE of Jorhat (JRH),w/o
5-Sep-44,Curtiss C-46A-25-CU Commando,41-24709,United States Army Air Force - USAAF,,Chabua Airfield,w/o
3-Sep-44,Consolidated C-87 Liberator Express,43-30563,United States Army Air Force - USAAF,,Jorhat (JRH),w/o
28-Aug-44,Lockheed Lodestar II (C-60),EW983,Royal Air Force - RAF,0,St. Thomas Mount (Madras),w/o
24-Aug-44,Douglas Dakota III (DC-3),FZ550,Royal Air Force - RAF,,Agartala,w/o
24-Aug-44,Douglas Dakota III (DC-3),FZ644,Royal Air Force - RAF,6,ca 45 km NE of Imphal,w/o
21-Aug-44,Curtiss C-46A-40-CU Commando,42-107303,United States Army Air Force - USAAF,,Chabua Airfield,w/o
19-Aug-44,Curtiss C-46A-35-CU Commando,42-3616,United States Army Air Force - USAAF,3,"S of Margherita, Assam",w/o
17-Aug-44,Consolidated C-87 Liberator Express,43-30580,United States Army Air Force - USAAF,,,w/o
15-Aug-44,Curtiss C-46A-45-CU Commando,42-107390,United States Army Air Force - USAAF,,Chabua Airfield,w/o
14-Aug-44,Curtiss C-46A-40-CU Commando,42-107288,United States Army Air Force - USAAF,,near Barrackpore Air Base,w/o
13-Aug-44,Consolidated C-87 Liberator Express,43-30587,United States Army Air Force - USAAF,,Jorhat (JRH),w/o
10-Aug-44,Curtiss C-46A-25-CU Commando,41-24692,United States Army Air Force - USAAF,,Mohanbari Air Base (MOH),w/o
9-Aug-44,Douglas C-47A-25-DK (DC-3),42-93387,United States Army Air Force - USAAF,,Dinjan,w/o
4-Aug-44,Douglas Dakota III (DC-3),FZ597,Royal Air Force - RAF,18,"17,5 km NE of Mohavia",w/o
27-Jul-44,Douglas C-47-DL (DC-3),41-38706,United States Army Air Force - USAAF,,Dinjan,w/o
27-Jul-44,Curtiss C-46A-35-CU Commando,42-3613,United States Army Air Force - USAAF,,Sookerating Air Base,w/o
23-Jul-44,Consolidated C-87 Liberator Express,43-30602,United States Army Air Force - USAAF,,Tezpur Airport (TEZ),w/o
18-Jul-44,Curtiss C-46A-25-CU Commando,41-24721,United States Army Air Force - USAAF,,"11,2 km SW of Ledo",w/o
16-Jul-44,Curtiss C-46A-25-CU Commando,41-24693,United States Army Air Force - USAAF,3,between Kunming and Misamari,mis
14-Jul-44,Curtiss C-46A-40-CU Commando,42-60964,United States Army Air Force - USAAF,,Jorhat,w/o
10-Jul-44,Curtiss C-46A-40-CU Commando,42-60945,United States Army Air Force - USAAF,,Misamari,w/o
6-Jul-44,Douglas C-47A-20-DK (DC-3),42-93116,United States Army Air Force - USAAF,,Calcutta-Dum Dum Airport (CCU),w/o
4-Jul-44,Curtiss C-46A-40-CU Commando,42-61081,United States Army Air Force - USAAF,,,w/o
2-Jul-44,Curtiss C-46A-35-CU Commando,42-3658,United States Army Air Force - USAAF,,Ledo,w/o
1-Jul-44,Curtiss C-46A-5-CU Commando,41-12288,United States Army Air Force - USAAF,,Chabua Airfield,w/o
28-Jun-44,Douglas C-47A-80-DL (DC-3),43-15407,United States Army Air Force - USAAF,6,"10,4 km from Bombay-Santacruz Airport",w/o
26-Jun-44,Douglas C-47A-70-DL (DC-3),42-100705,United States Army Air Force - USAAF,,Moran Air Base,w/o
26-Jun-44,Douglas Dakota III (DC-3),KG519,Royal Air Force - RAF,,Tulihal Air Base (IMF),w/o
26-Jun-44,Curtiss C-46A-35-CU Commando,42-3682,United States Army Air Force - USAAF,4,"33,6 km NW of Sookerating",w/o
25-Jun-44,Curtiss C-46A-40-CU Commando,42-60969,United States Army Air Force - USAAF,,Dinjan,w/o
23-Jun-44,Douglas Dakota III (DC-3),FL504,Royal Air Force - RAF,,Imphal,w/o
23-Jun-44,Douglas C-53 Skytrooper (DC-3),41-20096,United States Army Air Force - USAAF,,Delhi-Safdarjung Airport,w/o
22-Jun-44,Consolidated C-87 Liberator Express,44-39205,United States Army Air Force - USAAF,,Jorhat (JRH),w/o
22-Jun-44,Douglas C-47A-25-DK (DC-3),42-93350,United States Army Air Force - USAAF,,290 km NE of Fenny AFB,w/o
21-Jun-44,Douglas C-47-DL (DC-3),41-18553,United States Army Air Force - USAAF,,"4,8 km W of Lalmanirhat",w/o
19-Jun-44,Curtiss C-46A-25-CU Commando,41-24690,United States Army Air Force - USAAF,,Misamari,w/o
16-Jun-44,Curtiss C-46A-40-CU Commando,42-60993,United States Army Air Force - USAAF,4,Dinjan,w/o
15-Jun-44,Douglas C-47A-90-DL (DC-3),43-15788,United States Army Air Force - USAAF,,Pelel,w/o
14-Jun-44,Consolidated C-87 Liberator Express,43-30556,United States Army Air Force - USAAF,4,between Tezpur and Kunming,mis
14-Jun-44,Douglas C-47-DL (DC-3),41-7793,United States Army Air Force - USAAF,15,between Chabua and Calcutta,mis
11-Jun-44,Douglas Dakota III (DC-3),FZ548,Royal Air Force - RAF,28,"near Karinganj, Assam",w/o
10-Jun-44,Curtiss C-46A-35-CU Commando,42-3633,United States Army Air Force - USAAF,,Sookerating Air Base,w/o
8-Jun-44,Consolidated C-87 Liberator Express,41-24006,United States Army Air Force - USAAF,,Jorhat (JRH),w/o
31-May-44,Douglas Dakota III (DC-3),KG517,Royal Air Force - RAF,,Imphal Airport (IMF),w/o
27-May-44,Consolidated C-87 Liberator Express,43-30612,United States Army Air Force - USAAF,,Chanyi Airport,w/o
26-May-44,Douglas Dakota III (DC-3),FL574,Royal Air Force - RAF,,4 km NW of Silchar Airfield (IXS),w/o
25-May-44,Douglas C-47A-65-DL (DC-3),42-100614,United States Army Air Force - USAAF,10,N of Tezpur,w/o
24-May-44,Curtiss C-46A-35-CU Commando,42-3673,United States Army Air Force - USAAF,,Misamari,w/o
23-May-44,Curtiss C-46A-40-CU Commando,42-107282,United States Army Air Force - USAAF,4,between Chabua and Misamari,mis
20-May-44,Douglas Dakota III (DC-3),FD948,Royal Air Force - RAF,,Agartala Airport (IXA),w/o
20-May-44,Curtiss C-46A-35-CU Commando,42-3591,United States Army Air Force - USAAF,,near Mohanbari,mis
18-May-44,Douglas C-47A-80-DL (DC-3),92,China National Aviation Corporation - CNAC,0,Dinjan,sub
15-May-44,Douglas C-47A-75-DL (DC-3),90,China National Aviation Corporation - CNAC,3,Patkai Range,w/o
13-May-44,Douglas Dakota III (DC-3),FD859,Royal Air Force - RAF,,"51 km E of Kohima, Assam",w/o
7-May-44,Douglas Dakota III (DC-3),FL506,Royal Air Force - RAF,,Jorhat Airport (JRH),w/o
7-May-44,Curtiss C-46A-40-CU Commando,42-61047,United States Army Air Force - USAAF,,Mohanbari Air Base (MOH),w/o
5-May-44,Douglas Dakota III (DC-3),FZ599,194 Sqn RAF,4,"near Ampi, Assam",w/o
3-May-44,Douglas C-47-DL (DC-3),41-7825,United States Army Air Force - USAAF,,Imphal-Koirengei Airfield,w/o
3-May-44,Douglas C-47A-70-DL (DC-3),42-100689,United States Army Air Force - USAAF,,within Assam,w/o
2-May-44,Douglas Dakota III (DC-3),FL534,Royal Air Force - RAF,,Laleghat,w/o
1-May-44,Douglas C-47A-60-DL (DC-3),42-24376,United States Army Air Force - USAAF,0,40 km SW of Palel,w/o
28-Apr-44,Curtiss C-46A-35-CU Commando,42-3611,United States Army Air Force - USAAF,,Sookerating Air Base,w/o
26-Apr-44,Curtiss C-46A-25-CU Commando,41-24710,United States Army Air Force - USAAF,0,Sookerating Air Base,w/o
25-Apr-44,Douglas Dakota III (DC-3),KG462,Royal Air Force - RAF,4,near Imphal,w/o
25-Apr-44,Curtiss C-46A-35-CU Commando,42-3597,United States Army Air Force - USAAF,3,near Imphal,w/o
25-Apr-44,Douglas Dakota III (DC-3),FD952,Royal Air Force - RAF,4,100 km SW of Imphal,w/o
24-Apr-44,Curtiss C-46A-35-CU Commando,42-3630,United States Army Air Force - USAAF,4,near Imphal,w/o
22-Apr-44,Curtiss C-46A-30-CU Commando,41-24769,United States Army Air Force - USAAF,,Tulihal,w/o
20-Apr-44,Douglas Dakota III (DC-3),FD846,Royal Air Force - RAF,,Chandigarh Airport (IXC),w/o
18-Apr-44,Douglas C-47-DL (DC-3),41-38613,United States Army Air Force - USAAF,,"3,2 km S of Chowdhurani",w/o
9-Apr-44,Douglas Dakota III (DC-3),FD911,Royal Air Force - RAF,,Palel Airfield,w/o
5-Apr-44,Douglas C-47A-65-DL (DC-3),42-100457,United States Army Air Force - USAAF,,Dinjan Airport,w/o
29-Mar-44,Curtiss C-46A-40-CU Commando,42-60953,United States Army Air Force - USAAF,,Barrackpore Air Base,w/o
25-Mar-44,Douglas Dakota III (DC-3),FL511,Royal Air Force - RAF,,Imphal,w/o
24-Mar-44,Curtiss C-46A-25-CU Commando,41-24717,United States Army Air Force - USAAF,4,11 km N of Itanagar,w/o
18-Mar-44,Douglas C-47A-70-DL (DC-3),42-100703,United States Army Air Force - USAAF,,14 km W of Silchar,w/o
12-Mar-44,Curtiss C-46A-35-CU Commando,42-3671,United States Army Air Force - USAAF,,,w/o
6-Mar-44,Curtiss C-46A-35-CU Commando,42-3627,United States Army Air Force - USAAF,0,Sookerating Air Base,w/o
25-Feb-44,Curtiss C-46A-30-CU Commando,41-24742,United States Army Air Force - USAAF,,Mohanbari Air Base (MOH),w/o
22-Feb-44,Curtiss C-46A-20-CU Commando,41-24653,United States Army Air Force - USAAF,,Mohanbari Air Base (MOH),w/o
20-Feb-44,Curtiss C-46A-25-CU Commando,41-24724,United States Army Air Force - USAAF,4,16 km NNE of Mangnung,w/o
19-Feb-44,Douglas C-47A-65-DL (DC-3),42-100588,United States Army Air Force - USAAF,,Sookerating Air Base,w/o
18-Feb-44,Curtiss C-46A-20-CU Commando,41-24662,United States Army Air Force - USAAF,,,w/o
